# Route inventory — lk.sps38.pro/next, generated from .cache/compiled_routes.php
# total=377  generated_at=2026-07-15  source=next/.cache/compiled_routes.php (read-only)
# columns: METHOD	path	controller::method	hasDto	hasAccessRules	hasMiddlewares	hasPhpIni
GET	/api/worksheets/vehicle/driver/attachment/vehicle-history	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::getVehicleAttachmentHistory	Y	-	-	-
GET	/api/worksheets/vehicle/driver/get-history-periods/{reportId}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverController::getVehicleDriverHistoryPeriodsByReportId	-	-	-	-
GET	/api/worksheets/vehicle/location-contacts/{object_code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::getContacts	-	-	-	-
GET	/api/worksheets/vehicle/locations-report	SpsNext\WorkSheets\Vehicle\Controllers\VehicleLocationController::getVehicleLocationsReport	Y	-	-	-
GET	/api/worksheets/vehicle/transit/vehicle/{vehicleCode1c}	SpsNext\WorkSheets\Vehicle\Controllers\TransitController::historyByVehicle	-	-	-	-
GET	/qr	SpsNext\LK\QR\Controllers\QRController::getHtmlWithQr	-	Y	-	-
GET	/swagger	SpsFW\Core\Swagger\SwaggerController::index	-	Y	-	-
GET	/swagger-legacy	SpsNext\SwaggerLegacy\SwaggerLegacyController::index	-	Y	-	-
GET	/swagger-legacy/openapi-legacy.yaml	SpsNext\SwaggerLegacy\SwaggerLegacyController::yaml	-	-	-	-
GET	/swagger/openapi.yaml	SpsFW\Core\Swagger\SwaggerController::yaml	-	-	-	-
GET	/test	SpsFW\Core\CoreUtilController::test	-	Y	-	-
PATCH	/api/auth/add-access-rules	SpsNext\Auth\AuthController::addAccessRules	Y	-	-	-
PATCH	/api/auth/change-password	SpsNext\Auth\AuthController::changePassword	Y	-	-	-
PATCH	/api/auth/me/lightweight-lk	SpsNext\Auth\AuthController::updateLightweightLk	Y	-	-	-
PATCH	/api/news/comments/{comment-uuid}	SpsNext\LK\News\Controllers\NewsCommentController::updateComment	Y	-	-	-
PATCH	/api/news/tags/uuid/{tag-uuid}	SpsNext\LK\News\Controllers\NewsTagController::updateTag	Y	-	-	-
PATCH	/api/phone-book/notes	SpsNext\PhoneBook\Controllers\PhoneBookController::setNote	Y	-	-	-
POST	/api/access-rules/{code-1c}	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::setUserAccessRules	Y	Y	-	-
POST	/api/achievements/award	SpsNext\Achievements\Controllers\AchievementController::award	Y	-	-	-
POST	/api/achievements/create	SpsNext\Achievements\Controllers\AchievementController::create	Y	-	-	-
POST	/api/achievements/create-level	SpsNext\Achievements\Controllers\AchievementController::createAchievementLevel	Y	-	-	-
POST	/api/achievements/import/old	SpsNext\Achievements\Controllers\AchievementController::importOld	-	-	-	-
POST	/api/achievements/update-level/{uuid}	SpsNext\Achievements\Controllers\AchievementController::updateAchievementLevel	Y	-	-	-
POST	/api/achievements/{uuid}/take	SpsNext\Achievements\Controllers\AchievementController::add	-	-	-	-
POST	/api/admin/employees/{code_1c}/access-roles/{role_id}	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::addAdminEmployeeAccessRole	Y	Y	-	-
POST	/api/admin/exchange/1c/employees/by-hire-date	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::exchangeEmployeesByHireDate	Y	Y	-	-
POST	/api/auth/create-reset-code	SpsNext\Auth\AuthController::createResetCode	Y	Y	Y	-
POST	/api/auth/fix-old-auth	SpsNext\Auth\AuthController::fixOldAuth	-	Y	-	-
POST	/api/auth/login	SpsNext\Auth\AuthController::login	Y	Y	Y	-
POST	/api/auth/logout	SpsNext\Auth\AuthController::logout	-	Y	-	-
POST	/api/auth/refresh-tokens	SpsNext\Auth\AuthController::refreshTokens	-	Y	-	-
POST	/api/auth/register	SpsNext\Auth\AuthController::register	Y	Y	-	-
POST	/api/auth/register-by-chat-uuid	SpsNext\Auth\AuthController::registerByChatUUID	Y	Y	-	-
POST	/api/auth/reset-password	SpsNext\Auth\AuthController::resetPassword	Y	Y	Y	-
POST	/api/auth/reset-password/by-email	SpsNext\Auth\AuthController::resetPasswordByEmail	Y	Y	Y	-
POST	/api/auth/reset-password/create-link	SpsNext\Auth\AuthController::createPasswordResetLink	Y	Y	Y	-
POST	/api/auth/reset-password/submit	SpsNext\Auth\AuthController::submitResetLink	Y	Y	Y	-
POST	/api/auth/reset-password/verify-link	SpsNext\Auth\AuthController::verifyResetLink	Y	Y	Y	-
POST	/api/auth/set-access-rules	SpsNext\Auth\AuthController::setAccessRules	Y	-	-	-
POST	/api/auth/verify-reset-code/without-email	SpsNext\Auth\AuthController::verifyResetCode	Y	Y	Y	-
POST	/api/auth/verify-restore-code	SpsNext\Auth\AuthController::verifyRestoreCode	Y	Y	Y	-
POST	/api/bring-friend/send-form-to-1c	SpsNext\LK\BringFriend\Controllers\BringFriendController::sendFormTo1c	Y	-	-	-
POST	/api/core/update	SpsFW\Core\CoreUtilController::updateRoutes	-	-	-	-
POST	/api/core/update/routes	SpsFW\Core\CoreUtilController::updateOnlyRoutes	-	-	-	-
POST	/api/dining-room/review	SpsNext\LK\DiningRoom\Controllers\DiningRoomController::addReview	Y	-	-	-
POST	/api/driver/add	SpsNext\WorkSheets\Vehicle\Controllers\DriverOldController::addDriver	Y	-	-	-
POST	/api/exchange-1c/employees	SpsNext\Exchange1C\Exchange1CController::employeesExchange	-	-	-	-
POST	/api/exchange/1c/employees	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::changeEmployeeLong	Y	-	-	Y
POST	/api/exchange/1c/employees/directly	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::getEmployeeFrom1C	Y	Y	-	-
POST	/api/exchange/1c/employees/emails	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::changeEmployeeEmails	Y	-	-	-
POST	/api/exchange/1c/employees/internship-responsible	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::setInternshipResponsibilityAccessRules	Y	-	-	-
POST	/api/exchange/1c/employees/metrics	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::changeEmployeeMetrics	Y	-	-	Y
POST	/api/exchange/1c/employees/photos	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::changeEmployeePhotos	Y	-	-	Y
POST	/api/exchange/1c/positions	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::exchangePosition	Y	-	-	-
POST	/api/exchange/1c/positions-array	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::exchangePositions	Y	-	-	-
POST	/api/import/access-rules/bulk	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::syncRulesBulk	Y	-	-	-
POST	/api/import/access-rules/{code-1c}	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::syncRulesFrom1c	Y	-	-	-
POST	/api/import/dining-room	SpsNext\LK\DiningRoom\Controllers\DiningRoomController::importAll	Y	-	-	-
POST	/api/import/dining-room/check	SpsNext\LK\DiningRoom\Controllers\DiningRoomController::importOne	Y	-	-	-
POST	/api/infostand	SpsNext\InfoStand\Controllers\InfoStandController::createRecord	Y	-	-	-
POST	/api/infostand/{uuid}/add-files	SpsNext\InfoStand\Controllers\InfoStandController::addFilesInRecord	-	Y	-	-
POST	/api/knowledge-base/create	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::create	Y	-	-	-
POST	/api/knowledge-base/{uuid}/add-files	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::addFilesInRecord	-	Y	-	-
POST	/api/lk/times/policies	SpsNext\LK\Times\Controllers\TimesController::createPolicy	Y	Y	-	-
POST	/api/lk/times/recalculate-workday	SpsNext\LK\Times\Controllers\TimesController::recalculateWorkday	Y	Y	-	-
POST	/api/lk/times/schedules	SpsNext\LK\Times\Controllers\TimesController::createSchedule	Y	Y	-	-
POST	/api/locations/properties	SpsNext\Location\Controllers\LocationController::addLocationProperty	Y	-	-	-
POST	/api/locations/roles	SpsNext\Location\Controllers\LocationController::addLocationRole	Y	-	-	-
POST	/api/media/commit	SpsNext\LK\Media\Controllers\MediaController::commit	Y	-	-	-
POST	/api/media/release	SpsNext\LK\Media\Controllers\MediaController::release	Y	-	-	-
POST	/api/media/upload	SpsNext\LK\Media\Controllers\MediaController::upload	-	-	-	-
POST	/api/neuro/parse-id-birthday	SpsNext\Neuro\Controllers\NeuroController::parseIdBirthday	-	Y	-	-
POST	/api/news	SpsNext\LK\News\Controllers\NewsController::createNews	Y	Y	-	-
POST	/api/news/all	SpsNext\News\NewsController::getAllNews	-	-	-	-
POST	/api/news/create	SpsNext\News\NewsController::create	Y	-	-	-
POST	/api/news/extract-from-json	SpsNext\LK\News\Controllers\NewsController::extractFromJson	-	-	-	-
POST	/api/news/tags	SpsNext\LK\News\Controllers\NewsTagController::createTag	Y	-	-	-
POST	/api/news/upload-photo	SpsNext\LK\News\Controllers\NewsPhotoController::uploadPhoto	-	-	-	-
POST	/api/news/{slug}/comments	SpsNext\LK\News\Controllers\NewsCommentController::addCommentBySlug	Y	-	-	-
POST	/api/news/{slug}/view	SpsNext\LK\News\Controllers\NewsController::markViewBySlug	-	Y	-	-
POST	/api/notifications	SpsNext\LK\Notifications\Controllers\NotificationsController::createBroadcast	Y	Y	-	-
POST	/api/notifications/my/read	SpsNext\LK\Notifications\Controllers\NotificationsController::markMyNotificationsRead	Y	-	-	-
POST	/api/notifications/push-subscriptions	SpsNext\LK\Notifications\Controllers\NotificationsController::upsertPushSubscription	Y	Y	-	-
POST	/api/org-tree/department-functionality	SpsNext\LK\OrgTree\Controllers\OrgTreeController::updateDepartmentFunctionality	Y	-	-	-
POST	/api/person/me/contacts/emails	SpsNext\Person\Contacts\Controllers\ContactsController::addEmail	Y	-	-	-
POST	/api/person/me/contacts/emails/confirm	SpsNext\Person\Contacts\Controllers\ContactsController::confirmEmail	Y	-	-	-
POST	/api/person/me/contacts/emails/resend	SpsNext\Person\Contacts\Controllers\ContactsController::resendEmail	Y	-	-	-
POST	/api/phone-book/notes	SpsNext\PhoneBook\Controllers\PhoneBookController::addNote	Y	-	-	-
POST	/api/phone-book/pinned/{code_1c}	SpsNext\PhoneBook\Controllers\PhoneBookController::pinnedUser	-	-	-	-
POST	/api/queue/send	SpsFW\Core\Queue\Controllers\QueueManagerController::send	-	-	-	-
POST	/api/queue/worker/{workerId}/{action}	SpsFW\Core\Queue\Controllers\QueueManagerController::controlWorker	-	-	-	-
POST	/api/release-update	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::create	Y	-	-	-
POST	/api/release-update/tags	SpsNext\LK\ReleaseUpdate\Controllers\TagController::create	Y	-	-	-
POST	/api/release-update/{id}/add-tag	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::addTagToUpdate	Y	-	-	-
POST	/api/ticket/late	SpsNext\LK\Tickets\Controllers\TicketsController::setlate	-	-	-	-
POST	/api/ticket/{uuid}/user-confirm	SpsNext\LK\Tickets\Controllers\TicketsController::userConfirm	-	-	-	-
POST	/api/ticket/{uuid}/wrong	SpsNext\LK\Tickets\Controllers\TicketsController::wrong	-	-	-	-
POST	/api/training-center/class-info	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::createClassInfo	Y	-	-	-
POST	/api/training-center/complete-internship	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::completeInternship	Y	-	-	-
POST	/api/training-center/rate-internship	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::rateInternship	Y	-	-	-
POST	/api/training-center/set-internship-score	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::setInternshipScore	Y	-	-	-
POST	/api/training-center/set-noshow-status	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::setNoShowStatusForInternship	Y	-	-	-
POST	/api/training-center/start-internship	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::startInternship	Y	-	-	-
POST	/api/updates/add	SpsNext\SiteUpdates\SiteUpdateController::addUpdateInfo	Y	-	-	-
POST	/api/users/admin-reset-password	SpsNext\Users\Controllers\UserController::adminResetPassword	Y	Y	-	-
POST	/api/users/duplicate	SpsNext\Users\Controllers\UserController::deleteDuplicatesUsers	Y	-	-	-
POST	/api/vehicle-reports/swap-drivers	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::swapDrivers	Y	-	-	-
POST	/api/vehicle/assign-by-date	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::assignByDate	Y	-	-	-
POST	/api/vehicle/link-add	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::addLink	Y	-	-	-
POST	/api/vehicle/link-remove	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::removeLink	Y	-	-	-
POST	/api/vehicle/link-replace	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::replaceLink	Y	-	-	-
POST	/api/vehicle/trailer-attach	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::attachTrailer	Y	-	-	-
POST	/api/vehicle/trailer-attach-by-report	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::attachTrailerByVehicleReport	Y	-	-	-
POST	/api/vehicle/trailer-detach	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::detachTrailer	Y	-	-	-
POST	/api/vehicle/trailer-detach-by-report	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::detachTrailerByVehicleReport	Y	-	-	-
POST	/api/vehicle/{code_1c}/image	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::uploadVehicleImage	Y	-	-	-
POST	/api/worksheets/admin/links/{link_id}/location	SpsNext\WorkSheets\Links\Controllers\LinkController::moveAdminLinkLocation	Y	-	-	-
POST	/api/worksheets/admin/links/{link_id}/roles	SpsNext\WorkSheets\Links\Controllers\LinkController::addLinkRole	Y	-	-	-
POST	/api/worksheets/admin/reports/{report_id}/driver	SpsNext\WorkSheets\Links\Controllers\LinkController::assignDriverToShift	Y	-	-	-
POST	/api/worksheets/admin/reports/{report_id}/employees	SpsNext\WorkSheets\Links\Controllers\LinkController::addEmployeeToShift	Y	-	-	-
POST	/api/worksheets/admin/reports/{report_id}/reopen	SpsNext\WorkSheets\Links\Controllers\LinkController::reopenReport	-	-	-	-
POST	/api/worksheets/employee-movement/arrival	SpsNext\WorkSheets\EmployeeMovement\Controllers\EmployeeMovementController::arrival	Y	-	-	-
POST	/api/worksheets/employee-movement/departure	SpsNext\WorkSheets\EmployeeMovement\Controllers\EmployeeMovementController::departure	Y	-	-	-
POST	/api/worksheets/report-scans/upload	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::uploadReportScans	Y	-	-	-
POST	/api/worksheets/user-report/{report_id}/update-metrics	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::updateUserReport	Y	-	-	-
POST	/api/worksheets/vehicle-repair	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::create	Y	-	-	-
POST	/api/worksheets/vehicle-repair-sheet/add	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::add	Y	-	-	-
POST	/api/worksheets/vehicle-repair-sheet/insert-info	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::insertInfo	Y	-	-	-
POST	/api/worksheets/vehicle-repair/from-repair-link	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::createFromRepairLink	Y	-	-	-
POST	/api/worksheets/vehicle-repair/{uuid}/assign-driver	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::assignDriver	Y	-	-	-
POST	/api/worksheets/vehicle-repair/{uuid}/close	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::close	Y	-	-	-
POST	/api/worksheets/vehicle-repair/{uuid}/pause	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::pause	Y	-	-	-
POST	/api/worksheets/vehicle-repair/{uuid}/remove-driver	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::removeDriver	Y	-	-	-
POST	/api/worksheets/vehicle-repair/{uuid}/resume	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::resume	Y	-	-	-
POST	/api/worksheets/vehicle-repair/{uuid}/take-in-work	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::takeInWork	Y	-	-	-
POST	/api/worksheets/vehicle-repair/{uuid}/transfer	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::transfer	Y	-	-	-
POST	/api/worksheets/vehicle/conservation	SpsNext\WorkSheets\Vehicle\Controllers\VehicleConservationController::add	Y	-	-	-
POST	/api/worksheets/vehicle/driver	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverController::addDriver	Y	-	-	-
POST	/api/worksheets/vehicle/driver/attachment/open	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::openVehicleDriverAttachment	Y	-	-	-
POST	/api/worksheets/vehicle/location	SpsNext\WorkSheets\Vehicle\Controllers\VehicleLocationController::addLocation	Y	-	-	-
POST	/api/worksheets/vehicle/location-contacts/mechanic	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::addMechanic	Y	-	-	-
POST	/api/worksheets/vehicle/location-contacts/medic	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::addMedic	Y	-	-	-
POST	/api/worksheets/vehicle/location-contacts/phone	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::addPhone	Y	-	-	-
POST	/api/worksheets/vehicle/transit	SpsNext\WorkSheets\Vehicle\Controllers\TransitController::create	Y	-	-	-
POST	/api/worksheets/vehicle/transit/{uuid}/close	SpsNext\WorkSheets\Vehicle\Controllers\TransitController::close	-	-	-	-
POST	/core/update	SpsFW\Core\CoreUtilController::coreUpdate	-	-	-	-
POST	/swagger/update	SpsFW\Core\CoreUtilController::updateDocs	-	-	-	-
PUT	/api/infostand/{uuid}	SpsNext\InfoStand\Controllers\InfoStandController::editRecordName	Y	-	-	-
PUT	/api/knowledge-base/{uuid}/update-name	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::updateRecordName	Y	Y	-	-
PUT	/api/lk/times/policies/{uuid}	SpsNext\LK\Times\Controllers\TimesController::updatePolicy	Y	Y	-	-
PUT	/api/lk/times/schedules/{uuid}	SpsNext\LK\Times\Controllers\TimesController::updateSchedule	Y	Y	-	-
PUT	/api/news/comments/{comment-uuid}/like	SpsNext\LK\News\Controllers\NewsCommentController::putLike	-	-	-	-
PUT	/api/news/{slug}	SpsNext\LK\News\Controllers\NewsController::updateNewsBySlug	Y	Y	-	-
PUT	/api/news/{slug}/like	SpsNext\LK\News\Controllers\NewsController::putLikeBySlug	-	-	-	-
PUT	/api/tickets/{ticket_uuid}/confirm	SpsNext\LK\Tickets\Controllers\TicketsController::confirm	-	-	-	-
PUT	/api/tickets/{ticket_uuid}/refusal	SpsNext\LK\Tickets\Controllers\TicketsController::refusal	-	-	-	-
PUT	/api/worksheets/link/{link_id}/update-name	SpsNext\WorkSheets\Links\Controllers\LinkController::updateName	Y	-	-	-
PUT	/api/worksheets/vehicle/driver	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverController::replaceDriver	Y	-	-	-
PUT	/api/worksheets/vehicle/driver/attachment/close	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::closeVehicleDriverAttachment	Y	-	-	-
PUT	/api/worksheets/vehicle/driver/set-hours	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverController::setVehicleDriverHistoryHours	Y	-	-	-
PUT	/api/worksheets/vehicle/location	SpsNext\WorkSheets\Vehicle\Controllers\VehicleLocationController::replaceLocation	Y	-	-	-
PUT	/api/worksheets/vehicle/location-contacts/mechanic	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::replaceMechanic	Y	-	-	-
PUT	/api/worksheets/vehicle/location-contacts/medic	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::replaceMedic	Y	-	-	-
PUT	/api/worksheets/vehicle/location-contacts/phone	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::replacePhone	Y	-	-	-
PUT	/api/worksheets/vehicle/location-contacts/print-settings	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::replacePrintSettings	Y	-	-	-
