# Route inventory — lk.sps38.pro/next, generated from .cache/compiled_routes.php
# total=377  generated_at=2026-07-15  source=next/.cache/compiled_routes.php (read-only)
# columns: METHOD	path	controller::method	hasDto	hasAccessRules	hasMiddlewares	hasPhpIni
GET	/api/auth/me	SpsNext\Auth\AuthController::me	-	-	-	-
GET	/api/auth/me/lightweight-lk	SpsNext\Auth\AuthController::getLightweightLk	-	-	-	-
GET	/api/auth/reset	SpsNext\Auth\AuthController::reset	-	Y	-	-
GET	/api/day-reports/by-user-report/{id}/pdf	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::getDayReportPdfPath	-	-	-	-
GET	/api/day-reports/{date}/create-pdf-lists	SpsNext\Location\Controllers\LocationController::createDayReportsPdfLists	Y	-	-	-
GET	/api/departments/all	SpsNext\Departments\Controllers\DepartmentController::all	-	-	-	-
GET	/api/departments/search	SpsNext\Departments\Controllers\DepartmentController::getByName	Y	-	-	-
GET	/api/dining-room/me	SpsNext\LK\DiningRoom\Controllers\DiningRoomController::get	Y	-	-	-
GET	/api/docs-appeals/get-appeals-statuses	SpsNext\LK\DocsAppeals\Controllers\DocsAppealsController::getAppealsStatusesMe	Y	-	-	-
GET	/api/documents/{uuid}	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getDocumentByUuid	-	-	-	-
GET	/api/employee/full/{code_1c}	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getFullUserByCode1c	-	-	-	-
GET	/api/employees-uuid/{user_uuid}/documents	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getDocumentsByUserUuid	-	-	-	-
GET	/api/employees-uuid/{user_uuid}/documents/important	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getImportantDocumentsByUserUuid	-	-	-	-
GET	/api/employees-uuid/{uuid}	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getEmployeeDataByUuid	-	-	-	-
GET	/api/employees-uuid/{uuid}/access-cards	SpsNext\Employee\AccessCards\Controllers\AccessCardsController::getAccessCardsByUuid	-	-	-	-
GET	/api/employees-uuid/{uuid}/json-data	SpsNext\Employee\JsonData\Controllers\JsonDataController::getJsonDataByUuid	-	-	-	-
GET	/api/employees-uuid/{uuid}/lateness	SpsNext\Employee\Lateness\Controllers\ViolationsController::getLatenessByUuid	-	-	-	-
GET	/api/employees-uuid/{uuid}/metrics	SpsNext\Employee\Metrics\Controllers\MetricsController::getMetricsByUuid	-	-	-	-
GET	/api/employees-uuid/{uuid}/positions	SpsNext\Employee\Positions\Controllers\EmployeePositionsController::getPositionByUuid	-	-	-	-
GET	/api/employees-uuid/{uuid}/violations	SpsNext\Employee\Lateness\Controllers\ViolationsController::getViolationsByUuid	-	-	-	-
GET	/api/employees/access-cards/me	SpsNext\Employee\AccessCards\Controllers\AccessCardsController::getMyAccessCards	-	-	-	-
GET	/api/employees/documents/code-1c/{code_1c}	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getImportantDocumentsByUserCode1C	-	-	-	-
GET	/api/employees/me	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getMyEmployeeData	-	-	-	-
GET	/api/employees/me/docs-deadlines	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getMyDocsDeadLine	-	-	-	-
GET	/api/employees/me/documents	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getMyDocuments	-	-	-	-
GET	/api/employees/me/documents/important	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getMyImportantDocuments	-	-	-	-
GET	/api/employees/me/equipment	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getEquipment	-	-	-	-
GET	/api/employees/me/json-data	SpsNext\Employee\JsonData\Controllers\JsonDataController::getMyJsonData	-	-	-	-
GET	/api/employees/me/lateness	SpsNext\Employee\Lateness\Controllers\ViolationsController::getMyLateness	-	-	-	-
GET	/api/employees/me/metrics	SpsNext\Employee\Metrics\Controllers\MetricsController::getMyMetrics	-	-	-	-
GET	/api/employees/me/positions	SpsNext\Employee\Positions\Controllers\EmployeePositionsController::getMyPosition	-	-	-	-
GET	/api/employees/me/responsible-persons	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getSupervisors	-	-	-	-
GET	/api/employees/me/siz	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getSiz	-	-	-	-
GET	/api/employees/me/violations	SpsNext\Employee\Lateness\Controllers\ViolationsController::getMyViolations	-	-	-	-
GET	/api/employees/responsible-persons/{code_1c}	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getResponsibleByCode1c	-	-	-	-
GET	/api/employees/{code_1c}	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getEmployeeDataByCode1c	-	-	-	-
GET	/api/employees/{code_1c}/access-cards	SpsNext\Employee\AccessCards\Controllers\AccessCardsController::getAccessCardsByCode1C	-	-	-	-
