# operationId reconciliation — generated by gen_operation_id_reconciliation.php
# sources: R=route_inventory.txt (local snapshot of N)  S=next/.cache/swagger/openapi.yml  P=public_next/.../endpoints
# count.routes_total=377
# count.spec_paths=300
# count.spec_ops=347
# count.routes_in_spec=345
# count.routes_absent_in_spec=32
# count.spec_absent_in_routes=2
# count.explicit=40
# count.method_fallback=306
# count.spec_only=1
# count.missing=32
# count.in_p_client=347
# count.spec_in_p=347
# count.spec_not_in_p=0
# count.p_not_in_spec=0
# count.explicit_fn_matches_opid=40
# count.explicit_fn_mismatch=0
METHOD	path	controller::method	present_in_legacy_spec	legacy_operation_id	id_source	generated_function	generated_query_key	canonical_id
DELETE	/api/release-update/{id}/remove-tag	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::removeTagFromUpdate	Y	-	method-fallback	deleteApiReleaseUpdateIdRemoveTag	deleteApiReleaseUpdateIdRemoveTag	removeTagFromUpdate
DELETE	/api/ticket/{uuid}	SpsNext\LK\Tickets\Controllers\TicketsController::delete	Y	-	method-fallback	deleteApiTicketUuid	deleteApiTicketUuid	delete
DELETE	/api/vehicle/image/{uuid}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::deleteVehicleImage	Y	-	method-fallback	deleteApiVehicleImageUuid	deleteApiVehicleImageUuid	deleteVehicleImage
DELETE	/api/worksheets/admin/links/{link_id}/roles	SpsNext\WorkSheets\Links\Controllers\LinkController::deleteLinkRole	Y	-	method-fallback	deleteApiWorksheetsAdminLinksLinkIdRoles	deleteApiWorksheetsAdminLinksLinkIdRoles	deleteLinkRole
DELETE	/api/worksheets/admin/reports/{report_id}/driver	SpsNext\WorkSheets\Links\Controllers\LinkController::removeVehicleFromShiftUser	Y	-	method-fallback	deleteApiWorksheetsAdminReportsReportIdDriver	deleteApiWorksheetsAdminReportsReportIdDriver	removeVehicleFromShiftUser
DELETE	/api/worksheets/vehicle/conservation	SpsNext\WorkSheets\Vehicle\Controllers\VehicleConservationController::remove	Y	-	method-fallback	deleteApiWorksheetsVehicleConservation	deleteApiWorksheetsVehicleConservation	remove
DELETE	/api/worksheets/vehicle/driver	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverController::removeDriver	Y	-	method-fallback	deleteApiWorksheetsVehicleDriver	deleteApiWorksheetsVehicleDriver	removeDriver
DELETE	/api/worksheets/vehicle/location-contacts/mechanic	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::deleteMechanic	Y	-	method-fallback	deleteApiWorksheetsVehicleLocationContactsMechanic	deleteApiWorksheetsVehicleLocationContactsMechanic	deleteMechanic
DELETE	/api/worksheets/vehicle/location-contacts/medic	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::deleteMedic	Y	-	method-fallback	deleteApiWorksheetsVehicleLocationContactsMedic	deleteApiWorksheetsVehicleLocationContactsMedic	deleteMedic
DELETE	/api/worksheets/vehicle/location-contacts/phone	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::deletePhone	Y	-	method-fallback	deleteApiWorksheetsVehicleLocationContactsPhone	deleteApiWorksheetsVehicleLocationContactsPhone	deletePhone
GET	/api/access-rules/classes	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::getAccessRulesClasses	Y	getAccessRulesClasses	explicit	getAccessRulesClasses	getAccessRulesClasses	getAccessRulesClasses
GET	/api/access-rules/{code-1c}	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::getUserAccessRules	Y	getUserAccessRules	explicit	getUserAccessRules	getUserAccessRules	getUserAccessRules
GET	/api/achievements/all-with-completion	SpsNext\Achievements\Controllers\AchievementController::getAllAchievementsWithUserCompletion	Y	-	method-fallback	getApiAchievementsAllWithCompletion	getApiAchievementsAllWithCompletion	getAllAchievementsWithUserCompletion
GET	/api/achievements/me	SpsNext\Achievements\Controllers\AchievementController::me	Y	-	method-fallback	getApiAchievementsMe	getApiAchievementsMe	me
GET	/api/admin/employees/{code_1c}/access-roles	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::getAdminEmployeeAccessRoles	Y	getAdminEmployeeAccessRoles	explicit	getAdminEmployeeAccessRoles	getAdminEmployeeAccessRoles	getAdminEmployeeAccessRoles
GET	/api/admin/exchange/1c/employees/by-hire-date	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::previewEmployeesByHireDate	Y	previewAdminEmployeeExchangeByHireDate	explicit	previewAdminEmployeeExchangeByHireDate	previewAdminEmployeeExchangeByHireDate	previewAdminEmployeeExchangeByHireDate
GET	/api/applicaions	SpsNext\LK\Applicaions\Controllers\ApplicaionsController::getApplications	Y	-	method-fallback	getApiApplicaions	getApiApplicaions	getApplications
GET	/api/apps/kmd-pto/context	SpsNext\LK\KmdPto\Controllers\KmdPtoContextController::getContext	Y	-	method-fallback	getApiAppsKmdPtoContext	getApiAppsKmdPtoContext	getContext
GET	/api/auth/check-available-registration/{chatUUID}	SpsNext\Auth\AuthController::checkAvailableRegistrationByChatUUID	Y	getRegistrationTokenByChatUUID	explicit	getRegistrationTokenByChatUUID	getRegistrationTokenByChatUUID	getRegistrationTokenByChatUUID
GET	/api/auth/devices	SpsNext\Auth\AuthController::getDevices	Y	getUserDevices	explicit	getUserDevices	getUserDevices	getUserDevices
GET	/api/auth/landing-route	SpsNext\Auth\AuthController::resolveLandingRoute	N	-	missing	-	-	resolveLandingRoute
GET	/api/auth/login/by-code-1c/{code_1c}	SpsNext\Auth\AuthController::loginByCode1c	Y	loginByCode1c	explicit	loginByCode1c	loginByCode1c	loginByCode1c
GET	/api/auth/me	SpsNext\Auth\AuthController::me	Y	-	method-fallback	getApiAuthMe	getApiAuthMe	me
GET	/api/auth/me/lightweight-lk	SpsNext\Auth\AuthController::getLightweightLk	Y	-	method-fallback	getApiAuthMeLightweightLk	getApiAuthMeLightweightLk	getLightweightLk
GET	/api/auth/reset	SpsNext\Auth\AuthController::reset	N	-	missing	-	-	reset
GET	/api/day-reports/by-user-report/{id}/pdf	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::getDayReportPdfPath	Y	getDayReportPdfPath	explicit	getDayReportPdfPath	getDayReportPdfPath	getDayReportPdfPath
GET	/api/day-reports/{date}/create-pdf-lists	SpsNext\Location\Controllers\LocationController::createDayReportsPdfLists	Y	createDayReportsPdfLists	explicit	createDayReportsPdfLists	createDayReportsPdfLists	createDayReportsPdfLists
GET	/api/departments/all	SpsNext\Departments\Controllers\DepartmentController::all	Y	-	method-fallback	getApiDepartmentsAll	getApiDepartmentsAll	all
GET	/api/departments/search	SpsNext\Departments\Controllers\DepartmentController::getByName	Y	-	method-fallback	getApiDepartmentsSearch	getApiDepartmentsSearch	getByName
GET	/api/dining-room/me	SpsNext\LK\DiningRoom\Controllers\DiningRoomController::get	N	-	missing	-	-	get
GET	/api/docs-appeals/get-appeals-statuses	SpsNext\LK\DocsAppeals\Controllers\DocsAppealsController::getAppealsStatusesMe	Y	-	method-fallback	getApiDocsAppealsGetAppealsStatuses	getApiDocsAppealsGetAppealsStatuses	getAppealsStatusesMe
