# operationId reconciliation — generated by gen_operation_id_reconciliation.php
# sources: R=route_inventory.txt (local snapshot of N)  S=next/.cache/swagger/openapi.yml  P=public_next/.../endpoints
# count.routes_total=377
# count.spec_paths=300
# count.spec_ops=347
# count.routes_in_spec=345
# count.routes_absent_in_spec=32
# count.spec_absent_in_routes=2
# count.explicit=40
# count.method_fallback=306
# count.spec_only=1
# count.missing=32
# count.in_p_client=347
# count.spec_in_p=347
# count.spec_not_in_p=0
# count.p_not_in_spec=0
# count.explicit_fn_matches_opid=40
# count.explicit_fn_mismatch=0
METHOD	path	controller::method	present_in_legacy_spec	legacy_operation_id	id_source	generated_function	generated_query_key	canonical_id
GET	/api/locations/properties/catalog	SpsNext\Location\Controllers\LocationController::getLocationPropertiesCatalog	Y	-	method-fallback	getApiLocationsPropertiesCatalog	getApiLocationsPropertiesCatalog	getLocationPropertiesCatalog
GET	/api/locations/search	SpsNext\Location\Controllers\LocationController::getLocationByName	Y	-	method-fallback	getApiLocationsSearch	getApiLocationsSearch	getLocationByName
GET	/api/locations/{location_code_1c}/full-info	SpsNext\Location\Controllers\LocationController::getLocationFullInfo	Y	-	method-fallback	getApiLocationsLocationCode1cFullInfo	getApiLocationsLocationCode1cFullInfo	getLocationFullInfo
GET	/api/locations/{location_code_1c}/properties	SpsNext\Location\Controllers\LocationController::getLocationProperties	Y	-	method-fallback	getApiLocationsLocationCode1cProperties	getApiLocationsLocationCode1cProperties	getLocationProperties
GET	/api/locations/{location_code_1c}/roles	SpsNext\Location\Controllers\LocationController::getLocationRoles	Y	-	method-fallback	getApiLocationsLocationCode1cRoles	getApiLocationsLocationCode1cRoles	getLocationRoles
GET	/api/map/locations/all	SpsNext\Location\Controllers\LocationController::getLocationsToMap	N	-	missing	-	-	getLocationsToMap
GET	/api/mouse	SpsNext\WorkSheets\UsersControl\Controllers\UsersControlController::getTestTestMouse	Y	-	method-fallback	getApiMouse	getApiMouse	getTestTestMouse
GET	/api/news	SpsNext\LK\News\Controllers\NewsController::list	Y	-	method-fallback	getApiNews	getApiNews	list
GET	/api/news/tags	SpsNext\LK\News\Controllers\NewsTagController::getTags	Y	-	method-fallback	getApiNewsTags	getApiNewsTags	getTags
GET	/api/news/{slug}	SpsNext\LK\News\Controllers\NewsController::getBySlug	Y	-	method-fallback	getApiNewsSlug	getApiNewsSlug	getBySlug
GET	/api/news/{slug}/comments	SpsNext\LK\News\Controllers\NewsCommentController::getCommentsBySlug	Y	-	method-fallback	getApiNewsSlugComments	getApiNewsSlugComments	getCommentsBySlug
GET	/api/news/{slug}/related	SpsNext\LK\News\Controllers\NewsController::getRelatedBySlug	Y	-	method-fallback	getApiNewsSlugRelated	getApiNewsSlugRelated	getRelatedBySlug
GET	/api/notifications	SpsNext\LK\Notifications\Controllers\NotificationsController::getBroadcastsList	Y	-	method-fallback	getApiNotifications	getApiNotifications	getBroadcastsList
GET	/api/notifications/my	SpsNext\LK\Notifications\Controllers\NotificationsController::getMyNotifications	Y	-	method-fallback	getApiNotificationsMy	getApiNotificationsMy	getMyNotifications
GET	/api/notifications/my/{uuid}	SpsNext\LK\Notifications\Controllers\NotificationsController::getMyNotificationByUuid	Y	-	method-fallback	getApiNotificationsMyUuid	getApiNotificationsMyUuid	getMyNotificationByUuid
GET	/api/notifications/push-subscriptions/status	SpsNext\LK\Notifications\Controllers\NotificationsController::getPushSubscriptionStatus	Y	-	method-fallback	getApiNotificationsPushSubscriptionsStatus	getApiNotificationsPushSubscriptionsStatus	getPushSubscriptionStatus
GET	/api/notifications/{uuid}	SpsNext\LK\Notifications\Controllers\NotificationsController::getBroadcastByUuid	Y	-	method-fallback	getApiNotificationsUuid	getApiNotificationsUuid	getBroadcastByUuid
GET	/api/notifications/{uuid}/recipients	SpsNext\LK\Notifications\Controllers\NotificationsController::getBroadcastRecipients	Y	-	method-fallback	getApiNotificationsUuidRecipients	getApiNotificationsUuidRecipients	getBroadcastRecipients
GET	/api/org-tree	SpsNext\LK\OrgTree\Controllers\OrgTreeController::orgTree	Y	-	method-fallback	getApiOrgTree	getApiOrgTree	orgTree
GET	/api/org-tree/staff	SpsNext\LK\OrgTree\Controllers\OrgTreeController::orgTreeStaff	Y	-	method-fallback	getApiOrgTreeStaff	getApiOrgTreeStaff	orgTreeStaff
GET	/api/person/contacts/emails/{uuid}	SpsNext\Person\Contacts\Controllers\ContactsController::getEmailsByUuid	Y	-	method-fallback	getApiPersonContactsEmailsUuid	getApiPersonContactsEmailsUuid	getEmailsByUuid
GET	/api/person/contacts/phones/{uuid}	SpsNext\Person\Contacts\Controllers\ContactsController::getPhonesByUuid	Y	-	method-fallback	getApiPersonContactsPhonesUuid	getApiPersonContactsPhonesUuid	getPhonesByUuid
GET	/api/person/contacts/primary-email/{uuid}	SpsNext\Person\Contacts\Controllers\ContactsController::getPrimaryEmailByUuid	Y	-	method-fallback	getApiPersonContactsPrimaryEmailUuid	getApiPersonContactsPrimaryEmailUuid	getPrimaryEmailByUuid
GET	/api/person/me/contacts/emails	SpsNext\Person\Contacts\Controllers\ContactsController::getMyEmails	Y	-	method-fallback	getApiPersonMeContactsEmails	getApiPersonMeContactsEmails	getMyEmails
GET	/api/person/me/contacts/phones	SpsNext\Person\Contacts\Controllers\ContactsController::getMyPhones	Y	-	method-fallback	getApiPersonMeContactsPhones	getApiPersonMeContactsPhones	getMyPhones
GET	/api/person/me/contacts/primary-email	SpsNext\Person\Contacts\Controllers\ContactsController::getMyPrimaryEmail	Y	-	method-fallback	getApiPersonMeContactsPrimaryEmail	getApiPersonMeContactsPrimaryEmail	getMyPrimaryEmail
GET	/api/person/me/personal-data	SpsNext\Person\PersonalData\Controllers\PersonalDataController::getMyPersonalData	Y	-	method-fallback	getApiPersonMePersonalData	getApiPersonMePersonalData	getMyPersonalData
GET	/api/person/me/photos	SpsNext\Person\Photos\Controllers\PhotosController::getMyPhotos	Y	-	method-fallback	getApiPersonMePhotos	getApiPersonMePhotos	getMyPhotos
GET	/api/person/personal-data/code-1c/{code1c}	SpsNext\Person\PersonalData\Controllers\PersonalDataController::getPersonalDataByCode1C	Y	-	method-fallback	getApiPersonPersonalDataCode1cCode1c	getApiPersonPersonalDataCode1cCode1c	getPersonalDataByCode1C
GET	/api/person/personal-data/{uuid}	SpsNext\Person\PersonalData\Controllers\PersonalDataController::getPersonalDataByUuid	Y	-	method-fallback	getApiPersonPersonalDataUuid	getApiPersonPersonalDataUuid	getPersonalDataByUuid
GET	/api/person/photos/{uuid}	SpsNext\Person\Photos\Controllers\PhotosController::getPhotosByUuid	Y	-	method-fallback	getApiPersonPhotosUuid	getApiPersonPhotosUuid	getPhotosByUuid
GET	/api/phone-book/users	SpsNext\PhoneBook\Controllers\PhoneBookController::getUsers	Y	-	method-fallback	getApiPhoneBookUsers	getApiPhoneBookUsers	getUsers
GET	/api/positions	SpsNext\Positions\Controllers\PositionsController::getAllPositions	Y	-	method-fallback	getApiPositions	getApiPositions	getAllPositions
GET	/api/positions/{code1c}	SpsNext\Positions\Controllers\PositionsController::getPositionByCode1c	Y	-	method-fallback	getApiPositionsCode1c	getApiPositionsCode1c	getPositionByCode1c
GET	/api/qr-fast	SpsNext\LK\QR\Controllers\QRController::getFast	N	-	missing	-	-	getFast
GET	/api/queue/dashboard	SpsFW\Core\Queue\Controllers\QueueManagerController::dashboard	Y	-	method-fallback	getApiQueueDashboard	getApiQueueDashboard	dashboard
GET	/api/queue/jobs	SpsFW\Core\Queue\Controllers\QueueManagerController::listJobs	Y	-	method-fallback	getApiQueueJobs	getApiQueueJobs	listJobs
GET	/api/queue/stats	SpsFW\Core\Queue\Controllers\QueueManagerController::stats	Y	-	method-fallback	getApiQueueStats	getApiQueueStats	stats
GET	/api/release-update	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::getAll	Y	-	method-fallback	getApiReleaseUpdate	getApiReleaseUpdate	getAll
GET	/api/release-update/tags	SpsNext\LK\ReleaseUpdate\Controllers\TagController::getAll	Y	-	method-fallback	getApiReleaseUpdateTags	getApiReleaseUpdateTags	getAll
GET	/api/release-update/{id}	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::getById	Y	-	method-fallback	getApiReleaseUpdateId	getApiReleaseUpdateId	getById
GET	/api/salary/me	SpsNext\Salary\Controllers\SalaryController::getSalary	Y	-	method-fallback	getApiSalaryMe	getApiSalaryMe	getSalary
GET	/api/test	SpsNext\TestController::test	N	-	missing	-	-	test
GET	/api/ticket/{uuid}/file	SpsNext\LK\Tickets\Controllers\TicketsController::getFile	Y	downloadTicketFile	explicit	downloadTicketFile	downloadTicketFile	downloadTicketFile
GET	/api/tickets/all	SpsNext\LK\Tickets\Controllers\TicketsController::getAll	N	-	missing	-	-	getAll
GET	/api/tickets/{user_code_1c}	SpsNext\LK\Tickets\Controllers\TicketsController::getByUser	N	-	missing	-	-	getByUser
GET	/api/tickets/{ticket_uuid}/send	SpsNext\LK\Tickets\Controllers\TicketsController::sendByConfirm	N	-	missing	-	-	sendByConfirm
GET	/api/training-center/class-info	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getClassInfoByUuid	Y	-	method-fallback	getApiTrainingCenterClassInfo	getApiTrainingCenterClassInfo	getClassInfoByUuid
GET	/api/training-center/class-infos	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getAllClassInfos	Y	-	method-fallback	getApiTrainingCenterClassInfos	getApiTrainingCenterClassInfos	getAllClassInfos
GET	/api/training-center/classes-from-position/{position_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getClassesFromPositionCode1c	Y	-	method-fallback	getApiTrainingCenterClassesFromPositionPositionCode1c	getApiTrainingCenterClassesFromPositionPositionCode1c	getClassesFromPositionCode1c
GET	/api/training-center/internship/{internship_id}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getInternship	Y	-	method-fallback	getApiTrainingCenterInternshipInternshipId	getApiTrainingCenterInternshipInternshipId	getInternship
GET	/api/training-center/internships-from-master/{master_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::internshipsFromMaster	Y	-	method-fallback	getApiTrainingCenterInternshipsFromMasterMasterCode1c	getApiTrainingCenterInternshipsFromMasterMasterCode1c	internshipsFromMaster
GET	/api/training-center/internships-masters/{internship_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getInternshipsMasters	Y	-	method-fallback	getApiTrainingCenterInternshipsMastersInternshipCode1c	getApiTrainingCenterInternshipsMastersInternshipCode1c	getInternshipsMasters
GET	/api/training-center/student-internships/{student_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getStudentInternships	Y	-	method-fallback	getApiTrainingCenterStudentInternshipsStudentCode1c	getApiTrainingCenterStudentInternshipsStudentCode1c	getStudentInternships
GET	/api/training-center/view-employee-role/{employee_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::viewEmployeeRole	Y	-	method-fallback	getApiTrainingCenterViewEmployeeRoleEmployeeCode1c	getApiTrainingCenterViewEmployeeRoleEmployeeCode1c	viewEmployeeRole
GET	/api/updates	SpsNext\SiteUpdates\SiteUpdateController::getUpdates	N	-	missing	-	-	getUpdates
GET	/api/users/search	SpsNext\Users\Controllers\UserController::getByName	Y	-	method-fallback	getApiUsersSearch	getApiUsersSearch	getByName
GET	/api/users/search/full	SpsNext\Users\Controllers\UserController::getFullByQuery	Y	-	method-fallback	getApiUsersSearchFull	getApiUsersSearchFull	getFullByQuery
GET	/api/vehicle-reports/road-sheets/by-vehicle-code/{vehicle_code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getRoadSheetsByVehicleCode	Y	getRoadSheetsByVehicleCode	explicit	getRoadSheetsByVehicleCode	getRoadSheetsByVehicleCode	getRoadSheetsByVehicleCode
GET	/api/vehicle-reports/road-sheets/pdf	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getRoadsSheets	Y	generateRoadSheetsPdf	explicit	generateRoadSheetsPdf	generateRoadSheetsPdf	generateRoadSheetsPdf
GET	/api/vehicle-reports/road-sheets/{report_id}/scanned-pdf	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getScannedRoadSheetPdf	Y	getScannedRoadSheetPdf	explicit	getScannedRoadSheetPdf	getScannedRoadSheetPdf	getScannedRoadSheetPdf
GET	/api/vehicle-reports/{id}/get-drivers	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getDrivers	N	-	missing	-	-	getDrivers
GET	/api/vehicle-reports/{id}/{date}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getReportsByDay	Y	-	method-fallback	getApiVehicleReportsIdDate	getApiVehicleReportsIdDate	getReportsByDay
GET	/api/vehicle/get-list	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getList	Y	-	method-fallback	getApiVehicleGetList	getApiVehicleGetList	getList
GET	/api/vehicle/get-table	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getTable	Y	-	method-fallback	getApiVehicleGetTable	getApiVehicleGetTable	getTable
GET	/api/vehicle/logs/{code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getVehicleLogsByCode1c	Y	-	method-fallback	getApiVehicleLogsCode1c	getApiVehicleLogsCode1c	getVehicleLogsByCode1c
GET	/api/vehicle/{code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getVehicleCard	Y	-	method-fallback	getApiVehicleCode1c	getApiVehicleCode1c	getVehicleCard
GET	/api/vehicle/{id}/get-drivers	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getDrivers	Y	-	method-fallback	getApiVehicleIdGetDrivers	getApiVehicleIdGetDrivers	getDrivers
GET	/api/vehicle/{date}/info	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::dayInfo	Y	-	method-fallback	getApiVehicleDateInfo	getApiVehicleDateInfo	dayInfo
GET	/api/widgets/me	SpsNext\LK\Widgets\Controllers\WidgetController::get	Y	-	method-fallback	getApiWidgetsMe	getApiWidgetsMe	get
GET	/api/worker-health	SpsFW\Core\Queue\Controllers\WorkerHealthController::check	Y	-	method-fallback	getApiWorkerHealth	getApiWorkerHealth	check
GET	/api/workers	SpsFW\Core\Queue\Controllers\QueueManagerController::index	Y	-	method-fallback	getApiWorkers	getApiWorkers	index
GET	/api/worksheets-legacy/links/show-links-info-for-master	SpsNext\WorkSheetsFromLegacy\Links\Controllers\LinkLegacyController::showLinksInfoForMaster	Y	-	method-fallback	getApiWorksheetsLegacyLinksShowLinksInfoForMaster	getApiWorksheetsLegacyLinksShowLinksInfoForMaster	showLinksInfoForMaster
GET	/api/worksheets/admin/links	SpsNext\WorkSheets\Links\Controllers\LinkController::getAdminLinks	Y	-	method-fallback	getApiWorksheetsAdminLinks	getApiWorksheetsAdminLinks	getAdminLinks
GET	/api/worksheets/admin/links/{link_id}	SpsNext\WorkSheets\Links\Controllers\LinkController::getAdminLinkInfo	Y	-	method-fallback	getApiWorksheetsAdminLinksLinkId	getApiWorksheetsAdminLinksLinkId	getAdminLinkInfo
GET	/api/worksheets/admin/links/{link_id}/reports	SpsNext\WorkSheets\Links\Controllers\LinkController::getAdminLinkReports	Y	-	method-fallback	getApiWorksheetsAdminLinksLinkIdReports	getApiWorksheetsAdminLinksLinkIdReports	getAdminLinkReports
GET	/api/worksheets/admin/links/{link_id}/roles	SpsNext\WorkSheets\Links\Controllers\LinkController::getLinkRoles	Y	-	method-fallback	getApiWorksheetsAdminLinksLinkIdRoles	getApiWorksheetsAdminLinksLinkIdRoles	getLinkRoles
GET	/api/worksheets/admin/reports/{report_id}	SpsNext\WorkSheets\Links\Controllers\LinkController::getAdminReportInfo	Y	-	method-fallback	getApiWorksheetsAdminReportsReportId	getApiWorksheetsAdminReportsReportId	getAdminReportInfo
GET	/api/worksheets/export	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::ExportShifts	Y	-	method-fallback	getApiWorksheetsExport	getApiWorksheetsExport	ExportShifts
GET	/api/worksheets/link-preferences/get-link-preferences	SpsNext\Domain\Worksheets\Controllers\GetLinkPreferencesController::handle	Y	-	method-fallback	getApiWorksheetsLinkPreferencesGetLinkPreferences	getApiWorksheetsLinkPreferencesGetLinkPreferences	handle
GET	/api/worksheets/link/active/all	SpsNext\WorkSheets\Links\Controllers\LinkController::getAllList	Y	-	method-fallback	getApiWorksheetsLinkActiveAll	getApiWorksheetsLinkActiveAll	getAllList
GET	/api/worksheets/link/subordinates	SpsNext\WorkSheets\Links\Controllers\LinkController::getSubordinatesLinks	Y	-	method-fallback	getApiWorksheetsLinkSubordinates	getApiWorksheetsLinkSubordinates	getSubordinatesLinks
GET	/api/worksheets/queue/test	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::testQueueResponse	Y	-	method-fallback	getApiWorksheetsQueueTest	getApiWorksheetsQueueTest	testQueueResponse
GET	/api/worksheets/report/{report_id}/create-pdf	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::createPdfReport	Y	createWorksheetReportPdf	explicit	createWorksheetReportPdf	createWorksheetReportPdf	createWorksheetReportPdf
GET	/api/worksheets/report/{report_id}/scans	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::getReportScans	Y	getWorksheetReportScans	explicit	getWorksheetReportScans	getWorksheetReportScans	getWorksheetReportScans
GET	/api/worksheets/vehicle-repair-sheet/object/{object_id}/open	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getOpenByObjectId	Y	-	method-fallback	getApiWorksheetsVehicleRepairSheetObjectObjectIdOpen	getApiWorksheetsVehicleRepairSheetObjectObjectIdOpen	getOpenByObjectId
GET	/api/worksheets/vehicle-repair-sheet/vehicle/{vehicle_code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getByVehicleCode1c	Y	-	method-fallback	getApiWorksheetsVehicleRepairSheetVehicleVehicleCode1c	getApiWorksheetsVehicleRepairSheetVehicleVehicleCode1c	getByVehicleCode1c
GET	/api/worksheets/vehicle-repair-sheet/vehicle/{vehicle_code_1c}/open	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getOpenByVehicleCode1c	Y	-	method-fallback	getApiWorksheetsVehicleRepairSheetVehicleVehicleCode1cOpen	getApiWorksheetsVehicleRepairSheetVehicleVehicleCode1cOpen	getOpenByVehicleCode1c
GET	/api/worksheets/vehicle-repair-sheet/{uuid}	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getByUuid	Y	-	method-fallback	getApiWorksheetsVehicleRepairSheetUuid	getApiWorksheetsVehicleRepairSheetUuid	getByUuid
GET	/api/worksheets/vehicle-repair/object/{objectId}/open	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getOpenByObjectIdV2	Y	-	method-fallback	getApiWorksheetsVehicleRepairObjectObjectIdOpen	getApiWorksheetsVehicleRepairObjectObjectIdOpen	getOpenByObjectIdV2
GET	/api/worksheets/vehicle-repair/vehicle/{vehicleCode1c}	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getByVehicleCode1cV2	Y	-	method-fallback	getApiWorksheetsVehicleRepairVehicleVehicleCode1c	getApiWorksheetsVehicleRepairVehicleVehicleCode1c	getByVehicleCode1cV2
GET	/api/worksheets/vehicle-repair/{uuid}	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getByUuidV2	Y	-	method-fallback	getApiWorksheetsVehicleRepairUuid	getApiWorksheetsVehicleRepairUuid	getByUuidV2
GET	/api/worksheets/vehicle-repair/{uuid}/history	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::history	Y	-	method-fallback	getApiWorksheetsVehicleRepairUuidHistory	getApiWorksheetsVehicleRepairUuidHistory	history
GET	/api/worksheets/vehicle/driver/attachment/check	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::checkVehicleDriverAttachment	Y	-	method-fallback	getApiWorksheetsVehicleDriverAttachmentCheck	getApiWorksheetsVehicleDriverAttachmentCheck	checkVehicleDriverAttachment
GET	/api/worksheets/vehicle/driver/attachment/driver-history	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::getDriverAttachmentHistory	Y	-	method-fallback	getApiWorksheetsVehicleDriverAttachmentDriverHistory	getApiWorksheetsVehicleDriverAttachmentDriverHistory	getDriverAttachmentHistory
GET	/api/worksheets/vehicle/driver/attachment/get-driver-vehicles/{driverCode1c}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::getVehiclesAttachedToDriver	Y	-	method-fallback	getApiWorksheetsVehicleDriverAttachmentGetDriverVehiclesDriverCode1c	getApiWorksheetsVehicleDriverAttachmentGetDriverVehiclesDriverCode1c	getVehiclesAttachedToDriver
GET	/api/worksheets/vehicle/driver/attachment/get-vehicle-drivers/{vehicleId}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::getDriversAttachedToVehicle	Y	-	method-fallback	getApiWorksheetsVehicleDriverAttachmentGetVehicleDriversVehicleId	getApiWorksheetsVehicleDriverAttachmentGetVehicleDriversVehicleId	getDriversAttachedToVehicle
GET	/api/worksheets/vehicle/driver/attachment/vehicle-history	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::getVehicleAttachmentHistory	Y	-	method-fallback	getApiWorksheetsVehicleDriverAttachmentVehicleHistory	getApiWorksheetsVehicleDriverAttachmentVehicleHistory	getVehicleAttachmentHistory
GET	/api/worksheets/vehicle/driver/get-history-periods/{reportId}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverController::getVehicleDriverHistoryPeriodsByReportId	Y	-	method-fallback	getApiWorksheetsVehicleDriverGetHistoryPeriodsReportId	getApiWorksheetsVehicleDriverGetHistoryPeriodsReportId	getVehicleDriverHistoryPeriodsByReportId
GET	/api/worksheets/vehicle/location-contacts/{object_code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\LocationContactsController::getContacts	Y	-	method-fallback	getApiWorksheetsVehicleLocationContactsObjectCode1c	getApiWorksheetsVehicleLocationContactsObjectCode1c	getContacts
GET	/api/worksheets/vehicle/locations-report	SpsNext\WorkSheets\Vehicle\Controllers\VehicleLocationController::getVehicleLocationsReport	Y	-	method-fallback	getApiWorksheetsVehicleLocationsReport	getApiWorksheetsVehicleLocationsReport	getVehicleLocationsReport
GET	/api/worksheets/vehicle/transit/vehicle/{vehicleCode1c}	SpsNext\WorkSheets\Vehicle\Controllers\TransitController::historyByVehicle	Y	-	method-fallback	getApiWorksheetsVehicleTransitVehicleVehicleCode1c	getApiWorksheetsVehicleTransitVehicleVehicleCode1c	historyByVehicle
GET	/qr	SpsNext\LK\QR\Controllers\QRController::getHtmlWithQr	N	-	missing	-	-	getHtmlWithQr
GET	/swagger	SpsFW\Core\Swagger\SwaggerController::index	Y	-	method-fallback	getSwagger	getSwagger	index
GET	/swagger-legacy	SpsNext\SwaggerLegacy\SwaggerLegacyController::index	Y	-	method-fallback	getSwaggerLegacy	getSwaggerLegacy	index
GET	/swagger-legacy/openapi-legacy.yaml	SpsNext\SwaggerLegacy\SwaggerLegacyController::yaml	Y	-	method-fallback	getSwaggerLegacyOpenapiLegacyYaml	getSwaggerLegacyOpenapiLegacyYaml	yaml
GET	/swagger/openapi.yaml	SpsFW\Core\Swagger\SwaggerController::yaml	Y	-	method-fallback	getSwaggerOpenapiYaml	getSwaggerOpenapiYaml	yaml
GET	/test	SpsFW\Core\CoreUtilController::test	N	-	missing	-	-	test
PATCH	/api/auth/add-access-rules	SpsNext\Auth\AuthController::addAccessRules	N	-	missing	-	-	addAccessRules
PATCH	/api/auth/change-password	SpsNext\Auth\AuthController::changePassword	Y	-	method-fallback	patchApiAuthChangePassword	patchApiAuthChangePassword	changePassword
PATCH	/api/auth/me/lightweight-lk	SpsNext\Auth\AuthController::updateLightweightLk	Y	-	method-fallback	patchApiAuthMeLightweightLk	patchApiAuthMeLightweightLk	updateLightweightLk
PATCH	/api/news/comments/{comment-uuid}	SpsNext\LK\News\Controllers\NewsCommentController::updateComment	Y	-	method-fallback	patchApiNewsCommentsCommentUuid	patchApiNewsCommentsCommentUuid	updateComment
PATCH	/api/news/tags/uuid/{tag-uuid}	SpsNext\LK\News\Controllers\NewsTagController::updateTag	Y	-	method-fallback	patchApiNewsTagsUuidTagUuid	patchApiNewsTagsUuidTagUuid	updateTag
PATCH	/api/phone-book/notes	SpsNext\PhoneBook\Controllers\PhoneBookController::setNote	Y	-	method-fallback	patchApiPhoneBookNotes	patchApiPhoneBookNotes	setNote
POST	/api/access-rules/{code-1c}	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::setUserAccessRules	Y	setUserAccessRules	explicit	setUserAccessRules	setUserAccessRules	setUserAccessRules
POST	/api/achievements/award	SpsNext\Achievements\Controllers\AchievementController::award	Y	-	method-fallback	postApiAchievementsAward	postApiAchievementsAward	award
POST	/api/achievements/create	SpsNext\Achievements\Controllers\AchievementController::create	Y	-	method-fallback	postApiAchievementsCreate	postApiAchievementsCreate	create
POST	/api/achievements/create-level	SpsNext\Achievements\Controllers\AchievementController::createAchievementLevel	Y	-	method-fallback	postApiAchievementsCreateLevel	postApiAchievementsCreateLevel	createAchievementLevel
POST	/api/achievements/import/old	SpsNext\Achievements\Controllers\AchievementController::importOld	Y	-	method-fallback	postApiAchievementsImportOld	postApiAchievementsImportOld	importOld
POST	/api/achievements/update-level/{uuid}	SpsNext\Achievements\Controllers\AchievementController::updateAchievementLevel	Y	-	method-fallback	postApiAchievementsUpdateLevelUuid	postApiAchievementsUpdateLevelUuid	updateAchievementLevel
POST	/api/achievements/{uuid}/take	SpsNext\Achievements\Controllers\AchievementController::add	N	-	missing	-	-	add
POST	/api/admin/employees/{code_1c}/access-roles/{role_id}	SpsNext\Auth\AccessRules\Controllers\AccessRulesController::addAdminEmployeeAccessRole	Y	addAdminEmployeeAccessRole	explicit	addAdminEmployeeAccessRole	addAdminEmployeeAccessRole	addAdminEmployeeAccessRole
POST	/api/admin/exchange/1c/employees/by-hire-date	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::exchangeEmployeesByHireDate	Y	runAdminEmployeeExchangeByHireDate	explicit	runAdminEmployeeExchangeByHireDate	runAdminEmployeeExchangeByHireDate	runAdminEmployeeExchangeByHireDate
POST	/api/auth/add-access-rules	-	Y	addAccessRules	explicit	addAccessRules	addAccessRules	addAccessRules
POST	/api/auth/create-reset-code	SpsNext\Auth\AuthController::createResetCode	Y	createResetCode	explicit	createResetCode	createResetCode	createResetCode
POST	/api/auth/fix-old-auth	SpsNext\Auth\AuthController::fixOldAuth	N	-	missing	-	-	fixOldAuth
POST	/api/auth/login	SpsNext\Auth\AuthController::login	Y	loginUser	explicit	loginUser	loginUser	loginUser
POST	/api/auth/logout	SpsNext\Auth\AuthController::logout	Y	logoutUser	explicit	logoutUser	logoutUser	logoutUser
POST	/api/auth/refresh-tokens	SpsNext\Auth\AuthController::refreshTokens	Y	refreshTokens	explicit	refreshTokens	refreshTokens	refreshTokens
POST	/api/auth/register	SpsNext\Auth\AuthController::register	Y	registerUser	explicit	registerUser	registerUser	registerUser
POST	/api/auth/register-by-chat-uuid	SpsNext\Auth\AuthController::registerByChatUUID	Y	registerByChatUUID	explicit	registerByChatUUID	registerByChatUUID	registerByChatUUID
POST	/api/auth/reset-password	SpsNext\Auth\AuthController::resetPassword	Y	resetPassword	explicit	resetPassword	resetPassword	resetPassword
POST	/api/auth/reset-password/by-email	SpsNext\Auth\AuthController::resetPasswordByEmail	Y	resetPasswordByEmail	explicit	resetPasswordByEmail	resetPasswordByEmail	resetPasswordByEmail
